,date,t_5_Open,t_4_Open,t_3_Open,t_2_Open,t_1_Open,t_5_High,t_4_High,t_3_High,t_2_High,t_1_High,t_5_Low,t_4_Low,t_3_Low,t_2_Low,t_1_Low,t_5_Close,t_4_Close,t_3_Close,t_2_Close,t_1_Close,t_5_Adj_Close,t_4_Adj_Close,t_3_Adj_Close,t_2_Adj_Close,t_1_Adj_Close,t_5_Volume,t_4_Volume,t_3_Volume,t_2_Volume,t_1_Volume,t_5_Open_SMA,t_4_Open_SMA,t_3_Open_SMA,t_2_Open_SMA,t_1_Open_SMA,t_5_High_SMA,t_4_High_SMA,t_3_High_SMA,t_2_High_SMA,t_1_High_SMA,t_5_Low_SMA,t_4_Low_SMA,t_3_Low_SMA,t_2_Low_SMA,t_1_Low_SMA,t_5_Adj_Close_SMA,t_4_Adj_Close_SMA,t_3_Adj_Close_SMA,t_2_Adj_Close_SMA,t_1_Adj_Close_SMA,t_5_Volume_SMA,t_4_Volume_SMA,t_3_Volume_SMA,t_2_Volume_SMA,t_1_Volume_SMA,t_5_VPT,t_4_VPT,t_3_VPT,t_2_VPT,t_1_VPT,close
0,2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.120003
1,2019-01-03,,,,,99.550003,,,,,101.75,,,,,98.940002,,,,,101.120003,,,,,96.63266800000001,,,,,35329300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.400002
2,2019-01-04,,,,99.550003,100.099998,,,,101.75,100.190002,,,,98.940002,97.199997,,,,101.120003,97.400002,,,,96.63266800000001,93.07772800000001,,,,35329300.0,42579100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1566399.2274515643,101.93
3,2019-01-07,,,99.550003,100.099998,99.720001,,,101.75,100.190002,102.510002,,,98.940002,97.199997,98.93,,,101.120003,97.400002,101.93,,,96.63266800000001,93.07772800000001,97.406715,,,35329300.0,42579100.0,44060600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1566399.2274515643,482824.85653562355,102.059998
4,2019-01-08,,99.550003,100.099998,99.720001,101.639999,,101.75,100.190002,102.510002,103.269997,,98.940002,97.199997,98.93,100.980003,,101.120003,97.400002,101.93,102.059998,,96.63266800000001,93.07772800000001,97.406715,97.530937,,35329300.0,42579100.0,44060600.0,35656100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1566399.2274515643,482824.85653562355,528299.4144459494,102.800003
5,2019-01-09,99.550003,100.099998,99.720001,101.639999,103.040001,101.75,100.190002,102.510002,103.269997,103.970001,98.940002,97.199997,98.93,100.980003,101.709999,101.120003,97.400002,101.93,102.059998,102.800003,96.63266800000001,93.07772800000001,97.406715,97.530937,98.238113,35329300.0,42579100.0,44060600.0,35656100.0,31514400.0,,,,,100.8100004,,,,,102.33800039999998,,,,,99.5520002,,,,,96.5772322,,,,,37827900.0,,-1566399.2274515643,482824.85653562355,528299.4144459494,756800.4337385456,104.269997
6,2019-01-10,100.099998,99.720001,101.639999,103.040001,103.860001,100.190002,102.510002,103.269997,103.970001,104.879997,97.199997,98.93,100.980003,101.709999,103.239998,97.400002,101.93,102.059998,102.800003,104.269997,93.07772800000001,97.406715,97.530937,98.238113,99.642883,42579100.0,44060600.0,35656100.0,31514400.0,32280800.0,,,,100.8100004,101.672,,,,102.33800039999998,102.96399979999998,,,,99.5520002,100.4119994,,,,96.5772322,97.17927519999999,,,,37827900.0,37218200.0,-1566399.2274515643,482824.85653562355,528299.4144459494,756800.4337385456,1218401.4155517465,103.599998
7,2019-01-11,99.720001,101.639999,103.040001,103.860001,103.220001,102.510002,103.269997,103.970001,104.879997,103.75,98.93,100.980003,101.709999,103.239998,102.379997,101.93,102.059998,102.800003,104.269997,103.599998,97.406715,97.530937,98.238113,99.642883,99.002602,44060600.0,35656100.0,31514400.0,32280800.0,30067600.0,,,100.8100004,101.672,102.29600059999999,,,102.33800039999998,102.96399979999998,103.67599939999998,,,99.5520002,100.4119994,101.44799940000001,,,96.5772322,97.17927519999999,98.36425,,,37827900.0,37218200.0,34715900.0,482824.85653562355,528299.4144459494,756800.4337385456,1218401.4155517465,1025198.5526764351,102.800003
8,2019-01-14,101.639999,103.040001,103.860001,103.220001,103.190002,103.269997,103.970001,104.879997,103.75,103.440002,100.980003,101.709999,103.239998,102.379997,101.639999,102.059998,102.800003,104.269997,103.599998,102.800003,97.530937,98.238113,99.642883,99.002602,98.238113,35656100.0,31514400.0,32280800.0,30067600.0,28314200.0,,100.8100004,101.672,102.29600059999999,102.99000079999999,,102.33800039999998,102.96399979999998,103.67599939999998,103.86199939999999,,99.5520002,100.4119994,101.44799940000001,101.98999920000003,,96.5772322,97.17927519999999,98.36425,98.5305296,,37827900.0,37218200.0,34715900.0,31566620.0,528299.4144459494,756800.4337385456,1218401.4155517465,1025198.5526764351,806557.4439285385,102.050003
9,2019-01-15,103.040001,103.860001,103.220001,103.190002,101.900002,103.970001,104.879997,103.75,103.440002,102.870003,101.709999,103.239998,102.379997,101.639999,101.260002,102.800003,104.269997,103.599998,102.800003,102.050003,98.238113,99.642883,99.002602,98.238113,97.5214,31514400.0,32280800.0,30067600.0,28314200.0,28437100.0,100.8100004,101.672,102.29600059999999,102.99000079999999,103.04200139999998,102.33800039999998,102.96399979999998,103.67599939999998,103.86199939999999,103.78200059999999,99.5520002,100.4119994,101.44799940000001,101.98999920000003,102.04599900000002,96.5772322,97.17927519999999,98.36425,98.5305296,98.5286222,37827900.0,37218200.0,34715900.0,31566620.0,30122820.0,756800.4337385456,1218401.4155517465,1025198.5526764351,806557.4439285385,599088.3351970923,105.010002
